subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,pressure_hpa,altitude_m,label
7,alam,5/22/2026,4:31:48 PM,1351046997,30541,1.0144,-0.04907,0.1814,4.733,-6.359,-5.42,0.84155,0.5542,0.39966,13.71,1.679,-3.771,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:48 PM,1351047197,29741,0.92578,-0.07544,0.3584,-3.16,-2.221,-1.191,0.82251,0.52344,0.56396,-3.832,-2.634,2.527,1005.54,64.357,berdiri
7,alam,5/22/2026,4:31:48 PM,1351047397,29941,0.93628,-0.09229,0.35059,-2.168,-9.618,0.267,0.83813,0.49438,0.50586,1.573,-1.603,3.153,1005.54,64.357,berdiri
7,alam,5/22/2026,4:31:48 PM,1351047597,31141,1.01245,-0.021,0.19141,-12.061,-5.198,-5.756,0.80176,0.53467,0.46265,-8.885,-4.687,-0.519,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:48 PM,1351047797,31341,1.03027,-0.01758,0.15283,-0.267,-0.374,-4.534,0.82251,0.56421,0.41431,-0.588,,-0.687,1005.54,64.415,berdiri
7,alam,5/22/2026,4:31:49 PM,1351047997,31541,1.02393,-0.01489,0.15283,2.496,-0.565,-2.748,0.80933,0.5498,0.41479,0.397,3.931,1.031,1005.54,64.415,berdiri
7,alam,5/22/2026,4:31:49 PM,1351048197,30741,1.0166,-0.00952,0.15161,20.962,2.229,9.115,0.80591,0.56836,0.38843,24.954,23.84,-0.29,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:49 PM,1351048397,30941,1.01074,0.02002,0.18237,8.435,0.74,4.153,0.78125,0.57983,0.45996,-2.771,3.809,-0.061,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:49 PM,1351048597,32141,1.04102,-0.0188,0.12939,-4.336,-3.641,3.534,0.8147,0.56104,0.396,3.084,-0.74,1.794,1005.54,64.415,berdiri
7,alam,5/22/2026,4:31:49 PM,1351048797,32341,1.03979,-0.01587,0.13428,7.618,3.099,7.206,0.79858,0.57715,0.4104,7.496,7.847,3.901,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:50 PM,1351048997,32541,1.01221,-0.0249,0.14307,-2.863,2.649,0.763,0.80591,0.57446,0.396,-6.008,-0.847,1.16,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:50 PM,1351049197,31741,1.02124,-0.0022,0.15356,-6.527,0.45,-4.313,0.81152,0.54736,0.41479,-2.702,-3.809,2.031,1005.54,64.415,berdiri
7,alam,5/22/2026,4:31:50 PM,1351049397,31941,1.02295,-0.00366,0.16846,-10.466,-3.733,-1.076,0.82959,0.54834,0.40308,-4.672,-5.87,0.321,1005.54,64.415,berdiri
7,alam,5/22/2026,4:31:50 PM,1351049597,33141,1.01514,-0.03271,0.15698,-4.84,-3.595,0.687,0.80566,0.55078,0.39648,-0.13,-4.458,-1.237,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:50 PM,1351049797,33341,1.03613,-0.04443,0.11938,0.756,-3.053,2.695,0.80273,0.57129,0.36694,3.267,3.046,-0.191,1005.51,64.68,berdiri
7,alam,5/22/2026,4:31:51 PM,1351049997,33541,1.02441,-0.06665,0.12939,1.939,-2.031,3.695,0.83057,0.54077,0.36816,3.87,0.794,-1.519,1005.51,64.68,berdiri
7,alam,5/22/2026,4:31:51 PM,1351050197,32741,1.02563,-0.01978,0.15259,-9.679,1.42,-2.672,0.80054,0.56396,0.41211,-9.267,-3.947,2.092,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:51 PM,1351050397,32941,1.02051,-0.03076,0.14648,-8.771,-0.427,-1.168,0.80713,0.5498,0.41895,-5.679,-4.473,3.267,1005.53,64.491,berdiri
7,alam,5/22/2026,4:31:51 PM,1351050597,34141,1.03857,-0.05273,0.104,-0.015,0.786,-1.122,0.79053,0.59082,0.37622,-1.29,3.885,1.87,1005.51,64.68,berdiri
7,alam,5/22/2026,4:31:51 PM,1351050797,34341,1.03223,-0.05249,0.11206,-0.718,0.221,-0.496,0.79883,0.58594,0.37524,-0.458,-0.542,0.473,1005.53,64.477,berdiri
7,alam,5/22/2026,4:31:52 PM,1351050997,34541,1.03442,-0.04663,0.11133,-0.786,-3.557,-0.664,0.79614,0.58447,0.38135,-2.046,-0.702,,1005.53,64.477,berdiri
7,alam,5/22/2026,4:31:52 PM,1351051197,33741,1.02832,-0.08008,0.11572,9.679,-0.137,5.107,0.79541,0.57227,0.36011,5.061,7.069,-1.847,1005.51,64.68,berdiri
7,alam,5/22/2026,4:31:52 PM,1351051397,33941,1.03711,-0.05688,0.11694,6.038,-0.13,1.107,0.79346,0.59277,0.37891,0.038,4.221,-0.84,1005.51,64.68,berdiri
7,alam,5/22/2026,4:31:52 PM,1351051597,35141,1.03198,-0.04834,0.11328,2.42,-3.107,-2.267,0.80127,0.57544,0.38232,4.382,1.153,-2.511,1005.53,64.477,berdiri
7,alam,5/22/2026,4:31:52 PM,1351051797,35341,1.03125,-0.02148,0.11157,6.947,0.099,-2.107,0.77832,0.59546,0.39429,7.267,6.55,-2.916,1005.55,64.271,berdiri
7,alam,5/22/2026,4:31:53 PM,1351051997,35541,1.0625,0.0144,0.05688,11.855,4.466,2.046,0.73926,0.62573,0.36108,11.084,17.252,-2.038,1005.55,64.271,berdiri
7,alam,5/22/2026,4:31:53 PM,1351052197,34741,1.05005,-0.04932,0.09424,-1.137,0.145,-0.954,0.78882,0.59155,0.36206,-0.771,3.252,0.763,1005.53,64.477,berdiri
7,alam,5/22/2026,4:31:53 PM,1351052397,34941,1.03418,-0.0415,0.1062,2.313,3.748,-1.244,0.78979,0.59033,0.37939,0.053,4.863,1.252,1005.53,64.477,berdiri
7,alam,5/22/2026,4:31:53 PM,1351052597,36141,1.09839,-0.02637,0.03931,1.168,14.908,5.832,0.83276,0.54712,0.33398,-7.55,20.427,12.344,1005.55,64.271,berdiri
7,alam,5/22/2026,4:31:53 PM,1351052797,36341,1.02539,-0.12109,0.14673,16.328,27,6.992,0.85205,0.48462,0.35059,1.481,26.885,17.924,1005.54,64.4,berdiri
7,alam,5/22/2026,4:31:54 PM,1351052997,36541,1.05908,-0.16528,0.20093,25.45,24.58,0.771,0.28125,0.22314,0.67822,110.389,83.13,57.924,1005.54,64.4,benar
7,alam,5/22/2026,4:31:54 PM,1351053197,35741,1.03174,0.02271,0.11011,0.603,-0.458,-0.145,0.7793,0.59253,0.40137,1.962,-0.382,0.275,1005.55,64.271,benar
7,alam,5/22/2026,4:31:54 PM,1351053397,35941,1.05713,0.00244,0.07813,-1.099,-0.237,0.504,0.80713,0.58008,0.39868,0.084,2.321,3.504,1005.55,64.271,benar
