subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,pressure_hpa,altitude_m,label
9,padil,5/22/2026,4:46:33 PM,1351931994,134538,0.89185,-0.00781,0.36133,50.435,-2.198,37.809,0.78784,0.48877,-0.00903,51.542,29.282,-30.42,1005.66,63.4,berdiri
9,padil,5/22/2026,4:46:33 PM,1351932194,134738,0.90186,-0.00049,0.3689,41.267,2.061,36.046,0.69019,0.54272,-0.0564,15.008,12.29,-21.656,1005.66,63.4,berdiri
9,padil,5/22/2026,4:46:33 PM,1351932394,133938,0.89697,-0.01245,0.4209,23.069,6.206,25.023,0.69019,0.5459,-0.00635,8.634,13.947,-11.046,1005.66,63.4,berdiri
9,padil,5/22/2026,4:46:33 PM,1351932594,135138,0.88037,-0.04761,0.4231,6.198,3.168,9.26,0.6897,0.5647,0.04077,8.092,9.588,-3.779,1005.68,63.24,berdiri
9,padil,5/22/2026,4:46:33 PM,1351932794,135338,0.88062,-0.02124,0.44629,-9.122,4.153,-5.893,0.6875,0.59692,0.01782,-20.031,-7.534,11.672,1005.68,63.24,berdiri
9,padil,5/22/2026,4:46:34 PM,1351932994,135538,0.87183,-0.02661,0.42554,-20.267,2.214,-17.198,0.70557,0.58862,0.0437,-22.695,-10.817,13.55,1005.68,63.24,berdiri
9,padil,5/22/2026,4:46:34 PM,1351933194,135738,0.87964,-0.03296,0.40918,-27.336,1.16,-24.244,0.71094,0.55273,0.00488,-24.076,-13.366,13.427,1005.68,63.24,berdiri
9,padil,5/22/2026,4:46:34 PM,1351933394,134938,0.87915,-0.05371,0.43677,-14.985,1.015,-19.748,0.73877,0.54102,0.05591,-11.145,0.595,8.145,1005.68,63.24,berdiri
9,padil,5/22/2026,4:46:34 PM,1351933594,136138,0.8728,-0.00781,0.43921,5.275,-2.595,-8.29,0.74365,0.53345,0.03491,2.824,5.702,0.282,1005.68,63.193,berdiri
9,padil,5/22/2026,4:46:34 PM,1351933794,136338,0.9082,0.03882,0.4021,6.267,-3.145,-6.221,0.75781,0.52026,0.0376,-3.145,4.42,2.214,1005.68,63.193,berdiri
9,padil,5/22/2026,4:46:35 PM,1351933994,136538,0.88867,0.05176,0.40527,4.779,-2.427,-0.214,0.77368,0.54736,0.08594,2.267,4.611,-0.931,1005.68,63.193,berdiri
9,padil,5/22/2026,4:46:35 PM,1351934194,136738,0.88354,0.10474,0.40869,0.275,0.649,1.847,0.75171,0.56958,0.07007,-1.504,5.038,4.901,1005.68,63.193,berdiri
9,padil,5/22/2026,4:46:35 PM,1351934394,135938,0.9248,0.02979,0.44824,-36.298,6.969,-5.481,0.59619,0.55542,-0.06567,-36.55,25.962,-13.534,1005.68,63.193,berdiri
9,padil,5/22/2026,4:46:35 PM,1351934594,137138,0.89966,0.01587,0.42456,-2.771,-4.435,8.42,0.82861,0.48877,0.15283,4.748,-3.145,3.16,1005.7,63.077,berdiri
9,padil,5/22/2026,4:46:35 PM,1351934794,137338,0.90161,0.0249,0.38428,0.16,0.252,6.267,0.77075,0.47656,0.05688,0.45,-3.237,0.298,1005.7,63.077,berdiri
9,padil,5/22/2026,4:46:36 PM,1351934994,137538,0.91235,0.01733,0.38306,-5.206,0.427,-0.733,0.78296,0.45117,0.02441,-4.29,0.405,2.84,1005.7,63.077,berdiri
9,padil,5/22/2026,4:46:36 PM,1351935194,137738,0.90527,0.02148,0.4104,-0.626,-0.351,1.321,0.80615,0.45703,0.07861,10.87,3.626,-5.55,1005.7,63.077,berdiri
9,padil,5/22/2026,4:46:36 PM,1351935394,136938,0.90845,0.02319,0.40918,-4.794,0.305,0.992,0.79907,0.45703,0.03613,0.542,-0.45,3.267,1005.7,63.077,berdiri
9,padil,5/22/2026,4:46:36 PM,1351935594,138138,0.90503,0.05518,0.40503,-2.557,6.191,4.359,0.79053,0.48462,0.05298,6.267,2.916,5.015,1005.67,63.289,berdiri
9,padil,5/22/2026,4:46:36 PM,1351935794,138338,0.87891,-0.02124,0.43115,-12.878,2.328,-2.481,0.80444,0.43848,0.05005,-2.16,-1,3.863,1005.67,63.289,berdiri
9,padil,5/22/2026,4:46:37 PM,1351935994,138538,0.87988,-0.02832,0.42188,-4.794,0.527,-0.046,0.81152,0.42114,0.03906,-3.595,1.069,3.26,1005.67,63.289,berdiri
9,padil,5/22/2026,4:46:37 PM,1351936394,137938,0.88794,-0.03125,0.41113,3.595,0.321,2.237,0.79907,0.43359,0.04858,3.191,5.282,-0.977,1005.67,63.289,berdiri
9,padil,5/22/2026,4:46:37 PM,1351936647,139191,0.8833,-0.01855,0.42139,0.443,1.985,0.16,0.81055,0.43262,0.07153,-0.908,4.008,0.992,1005.67,63.309,berdiri
9,padil,5/22/2026,4:46:37 PM,1351936847,139391,0.87158,-0.02148,0.4397,-3.244,0.237,-0.542,0.81567,0.43848,0.06104,0.649,-0.42,-0.405,1005.67,63.309,berdiri
9,padil,5/22/2026,4:46:38 PM,1351937047,139591,0.8772,-0.02197,0.42578,-2.466,-1.366,-1.405,0.80762,0.44409,0.05225,-2.229,-0.824,2.397,1005.67,63.309,berdiri
9,padil,5/22/2026,4:46:38 PM,1351937247,138791,0.89697,-0.01831,0.44092,-10,0.214,-4.595,0.80225,0.43701,0.03027,-11.031,-6.473,8.847,1005.67,63.289,berdiri
9,padil,5/22/2026,4:46:38 PM,1351937447,138991,0.88354,-0.0332,0.43018,-26.626,2.084,-7.389,0.81055,0.4104,0.03735,-15.817,-7.908,18.076,1005.67,63.309,berdiri
9,padil,5/22/2026,4:46:38 PM,1351937647,140191,0.86499,-0.11768,0.42578,-16.71,4.672,-6.176,0.80591,0.31152,0.01172,-12.267,-1.252,13.023,1005.69,63.116,berdiri
9,padil,5/22/2026,4:46:38 PM,1351937847,140391,0.90625,-0.13184,0.39453,16.397,-7.427,10.229,0.80908,0.36963,0.00684,14.397,1.916,-20.359,1005.69,63.116,berdiri
9,padil,5/22/2026,4:46:39 PM,1351938047,140591,0.95386,-0.02832,0.41968,-1.466,-1.321,-5.611,0.7876,0.37085,0.04736,-18.115,1.969,7.168,1005.69,63.116,berdiri
9,padil,5/22/2026,4:46:39 PM,1351938247,139791,0.8877,-0.03418,0.41895,-4.977,-3.832,-8.344,0.83179,0.38696,0.09058,7.733,3.733,2.13,1005.69,63.116,berdiri
9,padil,5/22/2026,4:46:39 PM,1351938447,139991,0.88379,-0.03882,0.40405,26.099,12.687,7.321,0.82031,0.37549,0.02344,29.87,24.687,-17.489,1005.69,63.116,berdiri
9,padil,5/22/2026,4:46:39 PM,1351938647,141191,0.87451,0.01855,0.42847,41.29,15.962,28.389,0.84863,0.36426,0.05225,39.656,36.412,-6.458,1005.66,63.351,berdiri
9,padil,5/22/2026,4:46:39 PM,1351938847,141391,0.80737,0.05835,0.48877,60.16,13.779,47.45,0.77759,0.43213,0.08838,57.374,33.313,-23.908,1005.66,63.351,berdiri
9,padil,5/22/2026,4:46:40 PM,1351939047,141591,0.8479,0.08838,0.4646,59.695,2.328,42.168,0.78491,0.49072,0.14233,57.924,24.695,-24.466,1005.66,63.351,berdiri
9,padil,5/22/2026,4:46:40 PM,1351939247,140791,0.84106,0.13623,0.47314,29.084,-4.359,24.748,0.79785,0.49634,0.08105,30.321,-0.527,-8.695,1005.66,63.351,berdiri
9,padil,5/22/2026,4:46:40 PM,1351939447,140991,0.88721,0.10889,0.4314,6.176,-11.237,10.092,0.79199,0.50977,0.09473,8.634,-5.221,-5.809,1005.66,63.351,berdiri
9,padil,5/22/2026,4:46:40 PM,1351939647,142191,0.87646,0.1106,0.41113,-9.252,-6.702,-11.084,0.75928,0.51123,0.03418,-17.046,-16.679,6.863,1005.7,63.058,berdiri
9,padil,5/22/2026,4:46:40 PM,1351939847,142391,0.9292,0.13965,0.37451,-32.679,-6.137,-27.824,0.76904,0.48486,0.02344,-34.229,-13.557,20.954,1005.7,63.058,berdiri
9,padil,5/22/2026,4:46:41 PM,1351940047,142591,0.89941,0.12256,0.38184,-43.214,4.901,-33.145,0.78687,0.43457,0.00928,-48.153,-10.107,31.748,1005.7,63.058,berdiri
9,padil,5/22/2026,4:46:41 PM,1351940247,141791,0.85254,0.14063,0.42676,-32.336,0.214,-18.206,0.76172,0.49487,0.05176,-25.16,-13.939,13.809,1005.7,63.058,berdiri
9,padil,5/22/2026,4:46:41 PM,1351940447,141991,0.89819,0.08667,0.42017,-25.328,-12,-12.611,0.79272,0.43628,0.04053,-8.321,-9.374,-0.061,1005.7,63.058,berdiri
9,padil,5/22/2026,4:46:41 PM,1351940647,143191,0.87915,0.03882,0.375,-19.389,0.023,-0.466,0.80981,0.39648,0.03784,-35.221,2.267,-5.634,1005.68,63.207,berdiri
9,padil,5/22/2026,4:46:41 PM,1351940847,143391,0.84253,0.01001,0.37329,-43.679,17.847,-12.237,0.82861,0.46729,0.06519,-51.969,-4.84,25.893,1005.68,63.207,berdiri
9,padil,5/22/2026,4:46:42 PM,1351941047,143591,0.76685,-0.15527,0.48682,-23.412,18.908,-16.13,0.84717,0.31104,0.05762,-1.046,-3.908,0.931,1005.68,63.207,berdiri
9,padil,5/22/2026,4:46:42 PM,1351941247,142791,0.81323,-0.15967,0.48193,14.206,-11.16,2.794,1.03369,0.54419,0.04932,29.099,-8.595,-39.649,1005.68,63.207,benar
9,padil,5/22/2026,4:46:42 PM,1351941447,142991,0.82153,0.10791,0.42261,13.267,-13.229,-8.565,0.82251,0.4126,0.14453,-13.748,2.214,28.656,1005.68,63.207,benar
9,padil,5/22/2026,4:46:42 PM,1351941647,144191,0.90063,0.01782,0.40039,34.527,7.092,13.511,0.86426,0.41772,0.11084,23.863,29.977,-7.252,1005.69,63.154,benar
9,padil,5/22/2026,4:46:42 PM,1351941847,144391,0.82227,0.12451,0.44727,48.557,34.069,16.305,0.86035,0.4939,0.10645,53.092,55.969,-13.718,1005.69,63.154,benar
9,padil,5/22/2026,4:46:43 PM,1351942047,144591,0.69189,0.35254,0.49023,19.573,19.16,10.802,0.77612,0.59521,0.21606,10.924,13.611,-3.557,1005.69,63.154,benar
