subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,pressure_hpa,altitude_m,label
16,arlin,6/1/2026,2:08:39 PM,2206458144,609688,1.02417,-0.0415,0.34473,-51.962,-12.282,-4.084,0.90771,-0.06201,-0.30371,-114.74,-9.115,10.885,1006.85,53.383,berdiri
16,arlin,6/1/2026,2:08:39 PM,2206458344,609888,0.97192,-0.09888,0.41675,-63.71,16.015,-27.229,1.01245,-0.19043,-0.25,-45.214,3.267,9.656,1006.85,53.383,berdiri
16,arlin,6/1/2026,2:08:39 PM,2206458544,611088,1.00977,-0.01636,0.44434,13.748,0.527,3.313,1.04175,-0.04712,-0.16943,9.466,-1.275,-1.74,1006.84,53.503,berdiri
16,arlin,6/1/2026,2:08:39 PM,2206458744,610288,1.02979,-0.09229,0.4314,-21.748,3.443,-10.389,1.03149,-0.09009,-0.22095,6.771,4.489,-1.305,1006.84,53.503,berdiri
16,arlin,6/1/2026,2:08:39 PM,2206458944,610488,1.00903,-0.0437,0.4043,-7.305,3.962,-3.84,1.0249,-0.06104,-0.1272,2.252,4.695,-6.382,1006.85,53.398,berdiri
16,arlin,6/1/2026,2:08:40 PM,2206459144,610688,0.99219,-0.03271,0.47168,3.985,7.359,-0.985,1.01147,-0.07227,-0.16455,8.618,1.481,-3.679,1006.85,53.398,berdiri
16,arlin,6/1/2026,2:08:40 PM,2206459344,610888,0.99316,-0.00806,0.47314,13.397,2.26,0.901,1.01978,-0.04932,-0.14111,9.183,-1.466,-2.328,1006.85,53.398,berdiri
16,arlin,6/1/2026,2:08:40 PM,2206459544,612088,0.99927,-0.05029,0.4397,25.328,0.344,6.855,1.02368,-0.09692,-0.17603,23.962,-3.947,-0.107,1006.86,53.335,berdiri
16,arlin,6/1/2026,2:08:40 PM,2206459744,611288,1.00146,-0.03198,0.45605,9.435,1.595,-1.992,1.02393,-0.07617,-0.14185,9.58,0.733,-2.389,1006.86,53.335,berdiri
16,arlin,6/1/2026,2:08:40 PM,2206459944,611488,0.98535,-0.01074,0.45459,27.458,2.214,10.496,1.0481,-0.07031,-0.14771,34.855,-0.191,4.908,1006.84,53.503,berdiri
16,arlin,6/1/2026,2:08:41 PM,2206460144,611688,1.00269,-0.01904,0.42651,34.489,2.389,12.718,1.01392,-0.08472,-0.17285,31.649,-1.672,-0.046,1006.84,53.503,berdiri
16,arlin,6/1/2026,2:08:41 PM,2206460344,611888,0.99927,-0.0481,0.42993,28.443,4.069,12.443,1.02197,-0.07153,-0.17529,24.733,-1.618,-4.183,1006.84,53.503,berdiri
16,arlin,6/1/2026,2:08:41 PM,2206460544,613088,0.95264,0.0061,0.54712,16.634,14.992,1.542,1.00195,-0.03198,-0.04395,4,5.26,-2.641,1006.86,53.337,berdiri
16,arlin,6/1/2026,2:08:41 PM,2206460744,612288,0.99341,-0.03369,0.40674,27.137,-1.122,7.336,1.01514,-0.16187,-0.18042,31.641,0.305,5.473,1006.86,53.337,berdiri
16,arlin,6/1/2026,2:08:41 PM,2206460944,612488,1.04907,0.00024,0.41309,42.267,5.977,7.511,1.00244,-0.06055,-0.14502,71.229,6.84,5.634,1006.86,53.335,berdiri
16,arlin,6/1/2026,2:08:42 PM,2206461144,612688,1.02002,0.08472,0.40259,38.145,10.206,11.977,1.04517,-0.05371,-0.14917,20.611,3.916,-6.947,1006.86,53.335,berdiri
16,arlin,6/1/2026,2:08:42 PM,2206461344,612888,1.03687,0.03735,0.4126,15.702,12.252,7.481,1.02319,-0.0188,-0.10962,10.122,10.634,-4.214,1006.86,53.335,berdiri
16,arlin,6/1/2026,2:08:42 PM,2206461544,614088,0.96826,0.04932,0.53418,-0.672,-0.802,1.992,1.00098,-0.03003,-0.10791,-0.092,-4.015,0.321,1006.85,53.427,berdiri
16,arlin,6/1/2026,2:08:42 PM,2206461744,613288,0.92505,0.04419,0.57544,8.618,3.985,0.939,1.02881,-0.04102,-0.07544,0.076,-0.481,-1.519,1006.85,53.427,berdiri
16,arlin,6/1/2026,2:08:42 PM,2206461944,613488,0.9624,0.04517,0.55103,4.649,-0.405,2.687,1.04639,-0.02637,-0.04956,0.511,-3.649,1.26,1006.86,53.337,berdiri
16,arlin,6/1/2026,2:08:43 PM,2206462144,613688,0.94312,0.03857,0.55054,5.489,1.519,-1.305,1.02319,-0.02954,-0.06055,2.466,-1.328,-2.084,1006.86,53.337,berdiri
16,arlin,6/1/2026,2:08:43 PM,2206462344,613888,0.9624,0.04541,0.54858,1.809,-0.168,-0.595,1.02637,-0.02637,-0.07959,1.573,-0.901,0.863,1006.86,53.337,berdiri
16,arlin,6/1/2026,2:08:43 PM,2206462544,615088,0.9458,-0.03833,0.40137,1.511,20.351,-38.26,0.89502,-0.05859,-0.10181,58.206,47.29,-31.405,1006.87,53.282,berdiri
16,arlin,6/1/2026,2:08:43 PM,2206462744,614288,0.98633,0.0415,0.52441,-0.435,2.725,1.733,1.01929,-0.03052,-0.1167,1.534,-0.756,0.702,1006.87,53.282,berdiri
16,arlin,6/1/2026,2:08:43 PM,2206462944,614488,0.93872,0.01709,0.49634,-13.595,10.573,4.779,0.87988,-0.10059,-0.02759,10.542,-3.481,4.473,1006.85,53.427,berdiri
16,arlin,6/1/2026,2:08:44 PM,2206463144,614688,1.05469,-0.01782,0.59302,29.656,7.939,0.13,1.14746,0.14038,-0.0542,22.267,8.122,21.13,1006.85,53.427,berdiri
16,arlin,6/1/2026,2:08:44 PM,2206463344,614888,1.13306,0.01489,0.6604,-5.687,-24.656,18.985,0.77588,-0.29077,0.21997,-90.71,-64.244,-12.947,1006.85,53.427,berdiri
16,arlin,6/1/2026,2:08:44 PM,2206463544,616088,0.96948,0.1001,0.51147,-6.954,-6.053,-1.122,1.0083,-0.02832,-0.0459,-10.634,-5.542,10.008,1006.84,53.537,berdiri
16,arlin,6/1/2026,2:08:44 PM,2206463744,615288,0.94556,0.06055,0.62402,10.221,23.389,0.649,0.98975,-0.03735,-0.07056,-7.527,-1.786,-9.031,1006.84,53.537,berdiri
16,arlin,6/1/2026,2:08:44 PM,2206463944,615488,0.87549,0.0835,0.60962,11.58,7.985,1.313,0.91675,-0.01294,-0.10596,-15.649,8.137,-1.267,1006.87,53.282,berdiri
