subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,pressure_hpa,altitude_m,label
20,padli,6/1/2026,3:26:21 PM,2211120090,806634,0.81226,0.23657,0.72778,0.588,3.29,1.618,1.00635,-0.23901,-0.01489,-0.672,0.275,1.855,1005.77,62.464,berdiri
20,padli,6/1/2026,3:26:21 PM,2211120290,806834,0.80615,0.22681,0.75562,-0.794,2.046,0.168,1.00391,-0.2373,-0.02173,0.42,-0.817,1.168,1005.77,62.464,berdiri
20,padli,6/1/2026,3:26:21 PM,2211120490,808034,0.81494,0.24585,0.70166,-0.084,2.443,-0.718,1.00195,-0.23804,-0.02026,0.672,0.412,1.359,1005.77,62.464,berdiri
20,padli,6/1/2026,3:26:21 PM,2211120690,808234,0.81348,0.24146,0.70581,-2.863,3.237,-3.183,1.00952,-0.22754,-0.02539,1.672,-1.824,1.511,1005.77,62.464,berdiri
20,padli,6/1/2026,3:26:21 PM,2211120890,808434,0.86206,0.24048,0.71851,3.344,1.786,-3.16,1.00854,-0.23608,-0.04517,-5.908,1.328,0.183,1005.81,62.13,berdiri
20,padli,6/1/2026,3:26:22 PM,2211121090,807634,0.80786,0.24194,0.68579,-2.084,2.405,0.458,1.02612,-0.24976,-0.01807,-1.412,3.244,-0.977,1005.81,62.13,berdiri
20,padli,6/1/2026,3:26:22 PM,2211121290,807834,0.82788,0.23779,0.70972,-1.366,1.779,-2.191,1.00537,-0.23315,-0.02759,-2.656,0.473,0.321,1005.77,62.464,berdiri
20,padli,6/1/2026,3:26:22 PM,2211121490,809034,0.86304,0.26025,0.7207,1.229,3.305,0.702,1.01099,-0.23706,0.00073,2.542,0.519,1.137,1005.81,62.13,berdiri
20,padli,6/1/2026,3:26:22 PM,2211121690,809234,0.8125,0.23657,0.70801,0.969,3.137,0.328,1.00073,-0.23242,-0.02173,-0.611,0.069,0.473,1005.81,62.13,berdiri
20,padli,6/1/2026,3:26:22 PM,2211121890,809434,0.81445,0.2478,0.68921,-1.794,1.359,-0.374,1.0022,-0.2356,-0.03296,-2.275,0.244,0.183,1005.81,62.14,berdiri
