subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,pressure_hpa,altitude_m,label
22,yunda,6/1/2026,4:22:45 PM,2214504028,248572,0.87085,0.16699,0.64185,3.626,0.427,-0.588,1.03784,-0.09595,0.02832,-3.84,-1.916,-1.916,1005.43,65.273,benar
22,yunda,6/1/2026,4:22:45 PM,2214504228,248772,0.84229,0.15088,0.66064,0.053,5.038,5.802,1.00464,-0.06812,0.03052,0.672,-6.061,-9.527,1005.43,65.273,benar
22,yunda,6/1/2026,4:22:45 PM,2214504428,247972,0.85571,0.177,0.70752,-17.74,3.534,-6.641,1.03491,-0.08789,0.07495,-15.618,5.748,3.992,1005.44,65.252,benar
22,yunda,6/1/2026,4:22:45 PM,2214504628,249172,0.88916,0.19482,0.60962,3.435,-2.733,1.748,1.03101,-0.00171,0.02051,-3.244,-2.198,3.763,1005.43,65.296,benar
22,yunda,6/1/2026,4:22:45 PM,2214504828,249372,0.90527,0.15771,0.62036,-3.641,4.656,3.267,1.0293,-0.03809,-0.00171,-3.718,1.435,7.282,1005.44,65.252,benar
22,yunda,6/1/2026,4:22:46 PM,2214505028,249572,0.90869,0.13232,0.63159,2.076,4.389,2.053,1.01294,-0.05322,0.0166,1.824,1.824,2.069,1005.44,65.252,benar
22,yunda,6/1/2026,4:22:46 PM,2214505228,249772,0.88647,0.1145,0.66187,-1.863,1.855,-1.305,1.02368,-0.04761,0.03809,-2.985,2.71,0.473,1005.44,65.252,benar
22,yunda,6/1/2026,4:22:46 PM,2214505428,248972,0.86426,0.19409,0.64697,6.962,-1.237,8.496,1.02075,0.00122,0.02075,2.641,0.168,-4,1005.43,65.296,benar
22,yunda,6/1/2026,4:22:46 PM,2214505628,250172,0.87891,0.12598,0.65112,1.511,1.84,-1.954,1.02612,-0.04028,0.04346,-0.229,0.771,-0.137,1005.4,65.571,benar
22,yunda,6/1/2026,4:22:46 PM,2214505936,250480,0.8877,0.1438,0.65161,1.481,1.092,-0.84,1.01855,-0.05176,0.0271,-0.649,0.611,0.641,1005.43,65.296,benar
